"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
762.357690344304,-3.45296337134116,0.59456271466418,2.54662210077192e-10,1.21363021244787e-07,"NbT2T01g01694"
379.507151102034,-1.20250711441193,0.378558942154814,5.68517497450812e-05,0.00860996060754749,"NbT2T01g01973"
338.859668308572,-3.07959164328354,0.318932905434451,2.2048048569509e-23,4.05964705206215e-20,"NbT2T01g02661"
35.0261810862563,-1.200779256092,0.42199204841738,0.000169016282509272,0.0213953486621425,"NbT2T01g03126"
120.34118343498,-1.13067358620595,0.37716698445589,0.000103834723748594,0.0142580914901967,"NbT2T02g00376"
58.1281129747901,-1.48368481004725,0.526061208843489,0.000160149466757041,0.0205947130139499,"NbT2T04g00826"
20.7747211211804,-1.20752272569675,0.452769025372303,0.000280011208136438,0.0324076971976881,"NbT2T04g01290"
184.290966758952,-1.61260308385379,0.346470370551561,1.37355573205635e-07,4.21515118137413e-05,"NbT2T04g02868"
1449.04210865124,-1.93271887205242,0.67851198634995,0.000132577994389281,0.0177800080496536,"NbT2T04g03257"
256.057800086623,-4.30382511771121,0.711735083197077,5.70547234033723e-11,3.00152303327767e-08,"NbT2T04g03499"
175.393827417549,-1.27127389001086,0.373069469541613,2.60511684381091e-05,0.00454862384090914,"NbT2T05g02873"
3327.69114850885,-1.84744813249372,0.312486118016166,1.5136969287695e-10,7.47766282812132e-08,"NbT2T06g00024"
1838.76658706522,-1.98846290688893,0.403279208620679,3.41122899083308e-08,1.23376842822024e-05,"NbT2T06g00530"
6.5115079003024,-2.21571234939001,0.784531637327313,0.000233874266959656,0.0281121032819043,"NbT2T06g00532"
33.3936891665597,-1.39365406806386,0.540638992734791,0.000325374751518191,0.0367138730765985,"NbT2T06g01033"
29.4642241262594,-1.56812286909172,0.585152238437545,0.000237421826891421,0.0281773272866922,"NbT2T06g01034"
14693.2822855192,-1.79172116177723,0.409157891049686,4.79879225839811e-07,0.000132237739321898,"NbT2T06g02004"
107.375574094779,-1.67545776263603,0.50018909236179,2.92394222115396e-05,0.00499759710947277,"NbT2T06g02379"
612.419029585876,-1.1457319619384,0.279086785812477,1.74573668203408e-06,0.000428583645550525,"NbT2T06g03557"
7.63098686576162,-2.13413126427579,0.59195815592487,2.11913460794965e-05,0.00391972167574541,"NbT2T07g02509"
1545.86929095757,-1.20983062783988,0.421026963424262,0.000144342199171771,0.0189838110521107,"NbT2T07g02554"
110.678287668064,-1.30768406628108,0.47593451518797,0.000204853761068596,0.0249195680281281,"NbT2T07g02705"
142.257156243113,-2.26954834109369,0.549264970367927,1.37002111061706e-06,0.000340471258582059,"NbT2T08g00232"
573.317191763735,-1.64193844338681,0.664282362464055,0.000378737906437801,0.0417604976097297,"NbT2T08g01247"
3944.75494745972,-1.54370520910694,0.441040539265187,1.73966525434127e-05,0.00332407359070077,"NbT2T08g01544"
36.0312925428158,-1.10279648899553,0.377761424663061,0.000137425638744458,0.018311966362699,"NbT2T09g01379"
202.659336181764,-1.07462278691007,0.422252986948662,0.000377484090691761,0.0417604976097297,"NbT2T09g02263"
144.16316049695,-1.03700430747649,0.396579633595136,0.000319483504288396,0.0362510862513006,"NbT2T09g02383"
971.303280199035,-1.0301761524821,0.391167519655377,0.000311928854727648,0.0354932978856954,"NbT2T09g03100"
51.1913202665788,-1.60320029022473,0.538353654961054,9.99203945673533e-05,0.0138360138527401,"NbT2T10g00144"
12.6330397911482,-1.5772096239178,0.623151658744474,0.000401875715197829,0.0432956954022172,"NbT2T10g00433"
80.8317562214122,-1.95180358788498,0.576354035041568,2.4748533275621e-05,0.00437557803069144,"NbT2T10g02168"
13.7213851417745,-2.37994619305699,0.741701098408504,5.19551922890696e-05,0.00797197321683952,"NbT2T10g02404"
1336.80963740688,-1.62789532325778,0.457523531380476,1.38546331960028e-05,0.00276464769213637,"NbT2T12g00105"
7.61807883488393,-1.88503055579362,0.673264934633757,0.000236005406199633,0.0281773272866922,"NbT2T12g00171"
116.572943135518,-1.39987811007674,0.417537939810122,3.06389453859595e-05,0.00512860495741507,"NbT2T12g00942"
1409.48574784593,-2.52061243620965,0.430610552229087,1.96363738294975e-10,9.58349676006367e-08,"NbT2T12g03051"
148.67953253932,-1.03941577146487,0.423433677754395,0.000481878008857649,0.0495429299055981,"NbT2T14g00554"
183.941873289989,-1.51057188949287,0.630207826887393,0.000473187355297354,0.0492747387876226,"NbT2T14g01334"
527.870473153956,-3.15332269385655,0.595850230009729,4.98981270330746e-09,2.08813940457261e-06,"NbT2T14g01484"
5.09467842311278,-3.7492998989416,1.21890169398566,5.3113093712237e-05,0.00811888754752942,"NbT2T14g02751"
77.7543550870444,-3.10461284256883,0.663277590580832,1.10937129909305e-07,3.48359787470244e-05,"NbT2T15g02181"
15.5205648909423,-8.62299019212126,2.85182540184604,5.56320494240441e-11,2.98807072947304e-08,"NbT2T16g01682"
516.623643103807,-1.13888798228379,0.280231067054832,2.16268507678881e-06,0.000521464566015244,"NbT2T18g00480"
11.8335083552847,-2.26196505922251,0.711122738564084,6.09128940437153e-05,0.00911806247996911,"NbT2T19g00047"
24.7947058736612,-1.35715690433369,0.344647370459148,3.95477310669359e-06,0.000926011265930311,"NbT2T19g02478"
55.382191765371,-1.30107112608281,0.267034846055737,5.5737576590623e-08,1.92975876284868e-05,"NbT2T19g02479"
