"go_term","n_query","n_background","pvalue","odds_ratio","padj"
"GO:0004672",15,230,0.00234911245618849,2.93987908562452,0.0211420121056964
"GO:0050832",9,154,0.0441212384826942,2.19574349061187,0.198545573172124
"GO:0005524",25,721,0.281985795436006,1.32217962041846,0.634468039731013
"GO:0033612",6,130,0.221480318254875,1.57505687822501,0.634468039731013
"GO:0071555",3,71,0.393029549812258,1.38055989250246,0.678059233022892
"GO:0051707",8,245,0.527379403462249,1.04155726095826,0.678059233022892
"GO:0006952",8,235,0.474584865444664,1.09998535168982,0.678059233022892
"GO:0004674",10,504,0.987682383945654,0.472893595307323,0.987682383945654
"GO:0005886",8,355,0.917917873052791,0.621068375244752,0.987682383945654
