GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0043170	P	macromolecule metabolic process	26	31	7957	31449	1.3e-11	1.9e-11	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0044237	P	cellular metabolic process	26	31	9684	31449	1.5e-09	2e-09	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0044238	P	primary metabolic process	26	31	10568	31449	1.2e-08	1.5e-08	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0071704	P	organic substance metabolic process	26	31	11156	31449	4.3e-08	4.9e-08	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0009987	P	cellular process	26	31	11678	31449	1.2e-07	1.3e-07	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0008152	P	metabolic process	26	31	14731	31449	2.4e-05	2.4e-05	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0004672	F	protein kinase activity	24	31	1887	31449	9.5e-24	2.5e-22	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0016301	F	kinase activity	24	31	2179	31449	2.8e-22	2.4e-21	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0016773	F	phosphotransferase activity, alcohol group as acceptor	24	31	2142	31449	1.8e-22	2.4e-21	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0016772	F	transferase activity, transferring phosphorus-containing groups	24	31	2697	31449	4e-20	2.6e-19	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
