GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0043170	P	macromolecule metabolic process	33	41	7957	31449	2.1e-13	4.2e-13	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0044237	P	cellular metabolic process	33	41	9684	31449	7.6e-11	1.4e-10	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0044238	P	primary metabolic process	33	41	10568	31449	9.9e-10	1.7e-09	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0071704	P	organic substance metabolic process	33	41	11156	31449	4.7e-09	7.4e-09	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0009987	P	cellular process	33	41	11678	31449	1.7e-08	2.6e-08	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0008152	P	metabolic process	33	41	14731	31449	1e-05	1.4e-05	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0006073	P	cellular glucan metabolic process	3	41	159	31449	0.0012	0.0015	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
GO:0044042	P	glucan metabolic process	3	41	159	31449	0.0012	0.0015	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
GO:0044264	P	cellular polysaccharide metabolic process	3	41	165	31449	0.0014	0.0016	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
GO:0005976	P	polysaccharide metabolic process	3	41	188	31449	0.002	0.0022	// Niben101Scf01685g12005.1 // Niben101Scf13823g03007.1 // Niben101Scf08633g00003.1 
