"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
109.328523563749,-1.84807896536689,0.308423494404855,-5.99647192579065,2.01650452005844e-09,2.02562169475019e-07,"NbT2T01g00067"
3.94688396374429,2.01722457432928,0.597526241029554,4.01686168657181,5.89783160164516e-05,0.000892114936300111,"NbT2T01g00281"
1646.07697571866,1.07434659630175,0.233036194045832,4.61511748060308,3.92873017202245e-06,0.00010326244857153,"NbT2T01g00414"
61.091110306182,2.41883549504618,0.537368277836634,4.90546398665845,9.32067418325741e-07,3.24163778914947e-05,"NbT2T01g00521"
101.297594411395,1.07791874251135,0.299163350908184,3.60188909385907,0.00031591314478174,0.00330541271242523,"NbT2T01g00562"
229.54041644745,1.83587835359851,0.498782129130571,3.68935776311163,0.000224820880152968,0.00253401511291483,"NbT2T01g00657"
319.856277666367,1.36007927019145,0.278390709162172,4.8694356291864,1.11917433402977e-06,3.76078421675305e-05,"NbT2T01g00664"
103.830785317117,1.16915668717987,0.274316895491197,4.26326033488248,2.0146556716091e-05,0.000376514323189886,"NbT2T01g00685"
102.149087614032,-1.5328274433513,0.485570573338907,-3.5667695953639,0.000361408977124978,0.00367539500969585,"NbT2T01g01161"
41.1095451308869,1.94885430162105,0.454176985692778,4.29010155143747,1.78591435196174e-05,0.000342232293625545,"NbT2T01g01266"
51.7742573683318,-1.02862794562352,0.351468631383981,-2.94127951801796,0.00326859439798411,0.019493890796125,"NbT2T01g01672"
25.9324814635023,2.50717388640733,0.540052252238823,4.80345791091211,1.55948682251212e-06,4.91257858934802e-05,"NbT2T01g01692"
257.060100541947,1.13187325258007,0.352959797966264,3.16787118307355,0.00153559544656181,0.0111067483754576,"NbT2T01g02292"
255.656048295929,1.21428747354835,0.314817293839543,3.84707537705277,0.000119536201814868,0.00155364154939696,"NbT2T01g02687"
86.2082723345321,1.27249874850217,0.453581335169442,2.71197373548913,0.00668838921323212,0.0333624485715501,"NbT2T01g02789"
35.497230145199,-1.54015025106283,0.594425748057832,-3.83992981883659,0.000123069486879806,0.00158917419468385,"NbT2T01g03158"
19.2218484635558,2.50619229333231,0.593864567603202,5.3428953832385,9.14735617022268e-08,4.70062098706545e-06,"NbT2T02g00001"
42.6935366285623,1.42390902734748,0.557734075156241,2.55718534295625,0.0105522976850025,0.0467190579724,"NbT2T02g00901"
15.0836156182398,1.6864224416029,0.590543887631725,3.05358980645635,0.00226121029881896,0.0148102919138055,"NbT2T02g01928"
214.356238473066,1.34882201833681,0.376753428018887,3.56786737844065,0.000359898573852479,0.0036675723016116,"NbT2T02g01930"
246.191311210068,-1.61927647307524,0.492746112029074,-3.68255825341401,0.000230905081444221,0.00258638343005582,"NbT2T03g00024"
278.300412138965,1.28769406995379,0.268176325144263,4.79043597409897,1.66419320884914e-06,5.17764229804219e-05,"NbT2T03g01542"
9.40708812753529,1.68422079022365,0.599518498807,3.36499036586237,0.000765463317617842,0.00653368350427704,"NbT2T03g02126"
914.497906849482,2.24821246794775,0.398068343872763,5.70068889371791,1.19324229049723e-08,8.81971845637581e-07,"NbT2T03g02940"
687.289096087513,1.2108628892202,0.25710199568691,4.70432899038757,2.54702251393885e-06,7.35595269418888e-05,"NbT2T03g03181"
196.834989706112,-1.0163648873995,0.398695726307502,-2.63369316767906,0.00844617763646006,0.0396830612425795,"NbT2T03g03638"
36.4009163837102,2.60036801046256,0.588708019290446,5.59504272048628,2.20567451855268e-08,1.44884046201278e-06,"NbT2T04g00281"
22.7861346044607,-1.2325681473814,0.426291231904878,-2.92962078947865,0.00339375883790742,0.0200598233658471,"NbT2T04g00730"
64.7422274342827,1.35969466369681,0.36658155077728,3.76889418442713,0.000163972377536522,0.00198247013430039,"NbT2T04g01215"
